,männlich
KG,
"30,0","22,5"
"31,0","22,5"
"32,0","23,0"
"33,0","23,5"
"34,0","24,0"
"35,0","24,5"
"36,0","25,0"
"37,0","25,5"
"38,0","26,0"
"39,0","26,5"
"40,0","27,0"
"41,0","27,5"
"42,0","28,0"
"43,0","28,5"
"44,0","29,0"
"45,0","29,5"
"46,0","30,0"
"47,0","30,5"
"48,0","31,0"
"49,0","32,0"
"50,0","33,0"
"51,0","34,5"
"52,0","36,0"
"53,0","37,0"
"54,0","38,5"
"55,0","40,0"
"56,0","42,0"
"57,0","44,0"
"58,0","46,0"
"59,0","48,0"
"60,0","50,0"
"61,0","52,0"
"62,0","54,0"
"63,0","56,0"
"64,0","57,5"
"65,0","59,0"
"66,0","60,5"
"67,0","62,0"
"68,0","63,5"
"69,0","65,0"
"70,0","66,5"
"71,0","68,0"
"72,0","69,5"
"73,0","70,5"
"74,0","71,5"
"75,0","72,5"
"76,0","74,0"
"77,0","75,5"
"78,0","77,0"
"79,0","78,0"
"79,1","79,1"
"79,2","79,2"
"79,3","79,3"
"79,4","79,4"
"79,5","79,5"
"79,6","79,6"
"79,7","79,7"
"79,8","79,8"
"79,9","79,9"
"80,0","80,0"
"80,1","80,1"
"80,2","80,2"
"80,3","80,3"
"80,4","80,4"
"80,5","80,5"
"80,6","80,6"
"80,7","80,7"
"80,8","80,8"
"80,9","80,9"
"81,0","81,0"
"81,1","81,1"
"81,2","81,2"
"81,3","81,3"
"81,4","81,4"
"81,5","81,5"
"81,6","81,6"
"81,7","81,7"
"81,8","81,8"
"81,9","81,9"
"82,0","82,0"
"82,1","82,1"
"82,2","82,2"
"82,3","82,3"
"82,4","82,4"
"82,5","82,5"
"82,6","82,6"
"82,7","82,7"
"82,8","82,8"
"82,9","82,9"
"83,0","83,0"
"83,1","83,1"
"83,2","83,2"
"83,3","83,3"
"83,4","83,4"
"83,5","83,5"
"83,6","83,6"
"83,7","83,7"
"83,8","83,8"
"83,9","83,9"
"84,0","84,0"
"84,1","84,1"
"84,2","84,2"
"84,3","84,3"
"84,4","84,4"
"84,5","84,5"
"84,6","84,6"
"84,7","84,7"
"84,8","84,8"
"84,9","84,9"
"85,0","85,0"
"85,1","85,1"
"85,2","85,2"
"85,3","85,3"
"85,4","85,4"
"85,5","85,5"
"85,6","85,6"
"85,7","85,7"
"85,8","85,8"
"85,9","85,9"
"86,0","86,0"
"86,1","86,1"
"86,2","86,2"
"86,3","86,3"
"86,4","86,4"
"86,5","86,5"
"86,6","86,6"
"86,7","86,7"
"86,8","86,8"
"86,9","86,9"
"87,0","87,0"
"87,1","87,1"
"87,2","87,2"
"87,3","87,3"
"87,4","87,4"
"87,5","87,5"
"87,6","87,6"
"87,7","87,7"
"87,8","87,8"
"87,9","87,9"
"88,0","88,0"
"88,1","88,1"
"88,2","88,2"
"88,3","88,3"
"88,4","88,4"
"88,5","88,5"
"88,6","88,6"
"88,7","88,7"
"88,8","88,8"
"88,9","88,9"
"89,0","89,0"
"89,1","89,1"
"89,2","89,2"
"89,3","89,3"
"89,4","89,4"
"89,5","89,5"
"89,6","89,6"
"89,7","89,7"
"89,8","89,8"
"89,9","89,9"
